OCCUPATIONTYPE,OCCUPATIONID,RELATIONTYPE,SKILLID
esco,key_20580,essential,key_19870
esco,key_20580,essential,key_20125
esco,key_20580,optional,key_19451
esco,key_20580,optional,key_19646
esco,key_20580,optional,key_19807
esco,key_20580,optional,key_20154
esco,key_20582,essential,key_19642
esco,key_20582,essential,key_19590
esco,key_20582,essential,key_20217
esco,key_20583,essential,key_19499
esco,key_20583,optional,key_19660
esco,key_20583,optional,key_20154
esco,key_20583,optional,key_20224
esco,key_20584,essential,key_19680
esco,key_20584,essential,key_20022
esco,key_20584,essential,key_19509
esco,key_20584,essential,key_19818
esco,key_20585,essential,key_19451
esco,key_20585,essential,key_19865
esco,key_20585,essential,key_19992
esco,key_20585,optional,key_19528
esco,key_20585,optional,key_20089
esco,key_20585,optional,key_20098
esco,key_20585,optional,key_20216
esco,key_20586,essential,key_20384
esco,key_20586,essential,key_19716
esco,key_20586,optional,key_19949
esco,key_20587,essential,key_19516
esco,key_20587,essential,key_19617
esco,key_20587,essential,key_19860
esco,key_20587,essential,key_20256
esco,key_20587,optional,key_20228
esco,key_20588,essential,key_20153
esco,key_20588,essential,key_19424
esco,key_20588,essential,key_19933
esco,key_20589,essential,key_20157
esco,key_20589,essential,key_20015
esco,key_20589,optional,key_19640
esco,key_20590,essential,key_19784
esco,key_20590,essential,key_20386
esco,key_20590,essential,key_20409
esco,key_20590,optional,key_19942
esco,key_20590,optional,key_20234
esco,key_20591,essential,key_20228
esco,key_20591,optional,key_20050
esco,key_20591,optional,key_20312
esco,key_20592,essential,key_19661
esco,key_20592,essential,key_19592
esco,key_20592,essential,key_20048
esco,key_20592,optional,key_20185
esco,key_20592,optional,key_20241
esco,key_20593,essential,key_19540
esco,key_20593,essential,key_20111
esco,key_20594,essential,key_19451
esco,key_20594,essential,key_19865
esco,key_20594,essential,key_20038
esco,key_20594,optional,key_19938
esco,key_20594,optional,key_19552
esco,key_20594,optional,key_19891
esco,key_20595,essential,key_20056
esco,key_20595,essential,key_19458
esco,key_20595,essential,key_19730
esco,key_20595,essential,key_20096
esco,key_20596,essential,key_19546
esco,key_20596,optional,key_20150
esco,key_20597,essential,key_19920
esco,key_20597,optional,key_19937
esco,key_20597,optional,key_19492
esco,key_20597,optional,key_20207
esco,key_20598,essential,key_20034
esco,key_20598,optional,key_20396
esco,key_20600,essential,key_19830
esco,key_20601,optional,key_19499
esco,key_20602,essential,key_19960
esco,key_20602,essential,key_19885
esco,key_20602,optional,key_19705
esco,key_20602,optional,key_20377
esco,key_20603,essential,key_20388
esco,key_20603,optional,key_20373
esco,key_20604,optional,key_20016
esco,key_20605,essential,key_19422
esco,key_20605,essential,key_19437
esco,key_20605,essential,key_19563
esco,key_20606,essential,key_20365
esco,key_20606,optional,key_19516
esco,key_20606,optional,key_19844
esco,key_20606,optional,key_20372
esco,key_20607,essential,key_19701
esco,key_20607,optional,key_19600
esco,key_20607,optional,key_19764
esco,key_20608,essential,key_19545
esco,key_20608,essential,key_20203
esco,key_20608,essential,key_19807
esco,key_20609,essential,key_20057
esco,key_20609,optional,key_20206
esco,key_20610,essential,key_19646
esco,key_20610,optional,key_19476
esco,key_20611,essential,key_20049
esco,key_20611,optional,key_19449
esco,key_20612,essential,key_19458
esco,key_20612,essential,key_19590
esco,key_20612,essential,key_20002
esco,key_20612,optional,key_20367
esco,key_20613,essential,key_19874
esco,key_20613,essential,key_20204
esco,key_20613,essential,key_20387
esco,key_20613,optional,key_20147
esco,key_20613,optional,key_20257
esco,key_20614,optional,key_20217
esco,key_20615,optional,key_19546
esco,key_20615,optional,key_20085
esco,key_20616,essential,key_20053
esco,key_20616,optional,key_19884
esco,key_20616,optional,key_19443
esco,key_20617,optional,key_19458
esco,key_20617,optional,key_19516
esco,key_20618,essential,key_19536
esco,key_20618,essential,key_19660
esco,key_20619,essential,key_20179
esco,key_20619,optional,key_19499
esco,key_20620,essential,key_19972
esco,key_20621,essential,key_19920
esco,key_20621,optional,key_19681
esco,key_20622,essential,key_19976
esco,key_20623,optional,key_20378
esco,key_20624,essential,key_19860
esco,key_20625,essential,key_20258
esco,key_20625,optional,key_20231
esco,key_20626,essential,key_19747
esco,key_20626,optional,key_19947
esco,key_20627,essential,key_20279
esco,key_20628,essential,key_19976
esco,key_20628,essential,key_20045
esco,key_20628,essential,key_20396
esco,key_20628,essential,key_19451
esco,key_20628,essential,key_19865
esco,key_20628,essential,key_20034
esco,key_20628,optional,key_20216
esco,key_20629,essential,key_19716
esco,key_20629,essential,key_19959
esco,key_20629,optional,key_19980
esco,key_20629,optional,key_20156
esco,key_20629,optional,key_20384
esco,key_20630,essential,key_19575
esco,key_20630,optional,key_19664
esco,key_20631,essential,key_20282
esco,key_20631,essential,key_19758
esco,key_20631,essential,key_20386
esco,key_20631,essential,key_20409
esco,key_20631,optional,key_19741
esco,key_20631,optional,key_19942
esco,key_20632,essential,key_19943
esco,key_20632,optional,key_19429
esco,key_20632,optional,key_19571
esco,key_20632,optional,key_19653
esco,key_20632,optional,key_19980
esco,key_20632,optional,key_20102
esco,key_20632,optional,key_20106
esco,key_20632,optional,key_20121
esco,key_20632,optional,key_20168
esco,key_20632,optional,key_19646
esco,key_20633,optional,key_19429
esco,key_20633,optional,key_19571
esco,key_20633,optional,key_19653
esco,key_20633,optional,key_19973
esco,key_20633,optional,key_20102
esco,key_20633,optional,key_20106
esco,key_20633,optional,key_20168
esco,key_20633,optional,key_20179
esco,key_20634,essential,key_20087
esco,key_20634,optional,key_19830
esco,key_20635,essential,key_20154
esco,key_20636,essential,key_20417
esco,key_20637,essential,key_20386
esco,key_20637,optional,key_19942
esco,key_20637,optional,key_20409
esco,key_20638,essential,key_19590
esco,key_20638,optional,key_19646
esco,key_20638,optional,key_20060
esco,key_20639,essential,key_20056
esco,key_20639,essential,key_19458
esco,key_20639,essential,key_19730
esco,key_20639,essential,key_20096
esco,key_20640,essential,key_20386
esco,key_20640,optional,key_19942
esco,key_20640,optional,key_20234
esco,key_20641,essential,key_19701
esco,key_20641,optional,key_20056
esco,key_20641,optional,key_19736
esco,key_20641,optional,key_20355
esco,key_20642,optional,key_19830
esco,key_20643,essential,key_20386
esco,key_20643,optional,key_19451
esco,key_20643,optional,key_19865
esco,key_20643,optional,key_19942
esco,key_20645,essential,key_20417
esco,key_20645,essential,key_19590
esco,key_20645,optional,key_19516
esco,key_20646,optional,key_19431
esco,key_20647,essential,key_19451
esco,key_20647,essential,key_19865
esco,key_20647,essential,key_20034
esco,key_20647,optional,key_20216
esco,key_20648,essential,key_19497
esco,key_20648,essential,key_19451
esco,key_20648,essential,key_19865
esco,key_20648,optional,key_20045
esco,key_20649,essential,key_19827
esco,key_20649,essential,key_19451
esco,key_20649,essential,key_19860
esco,key_20649,essential,key_19865
esco,key_20650,essential,key_19451
esco,key_20650,essential,key_19865
esco,key_20650,essential,key_20135
esco,key_20650,optional,key_19755
esco,key_20650,optional,key_20216
esco,key_20650,optional,key_20390
esco,key_20651,essential,key_19747
esco,key_20651,essential,key_20088
esco,key_20651,optional,key_20068
esco,key_20651,optional,key_19891
esco,key_20651,optional,key_20220
esco,key_20652,essential,key_20250
esco,key_20652,optional,key_20154
esco,key_20653,essential,key_20115
esco,key_20653,essential,key_19590
esco,key_20653,essential,key_19710
esco,key_20653,essential,key_19920
esco,key_20653,essential,key_20295
esco,key_20653,essential,key_20372
esco,key_20654,essential,key_19642
esco,key_20654,essential,key_19590
esco,key_20654,essential,key_20217
esco,key_20655,essential,key_19578
esco,key_20655,optional,key_19946
esco,key_20656,optional,key_19463
esco,key_20656,optional,key_19787
esco,key_20656,optional,key_20331
esco,key_20657,essential,key_19428
esco,key_20657,essential,key_19579
esco,key_20657,optional,key_20016
esco,key_20658,essential,key_19506
esco,key_20658,essential,key_19590
esco,key_20658,essential,key_20154
esco,key_20658,optional,key_20101
esco,key_20658,optional,key_20179
esco,key_20659,essential,key_20056
esco,key_20659,essential,key_19458
esco,key_20659,essential,key_19730
esco,key_20659,essential,key_20096
esco,key_20661,optional,key_19465
esco,key_20662,essential,key_19863
esco,key_20662,essential,key_19959
esco,key_20662,essential,key_20005
esco,key_20662,optional,key_19590
esco,key_20662,optional,key_20179
esco,key_20663,essential,key_19830
esco,key_20663,essential,key_20383
esco,key_20663,essential,key_20389
esco,key_20664,essential,key_19960
esco,key_20664,optional,key_20216
esco,key_20665,optional,key_19827
esco,key_20665,optional,key_20224
esco,key_20666,essential,key_19860
esco,key_20666,optional,key_19854
esco,key_20666,optional,key_20243
esco,key_20666,optional,key_20375
esco,key_20667,essential,key_19994
esco,key_20667,optional,key_19888
esco,key_20668,essential,key_19753
esco,key_20668,essential,key_19712
esco,key_20668,essential,key_19857
esco,key_20668,essential,key_19875
esco,key_20668,essential,key_19885
esco,key_20668,essential,key_20161
esco,key_20668,optional,key_20179
esco,key_20669,essential,key_19625
esco,key_20669,essential,key_20162
esco,key_20669,optional,key_19925
esco,key_20669,optional,key_20154
esco,key_20669,optional,key_20232
esco,key_20671,essential,key_19590
esco,key_20671,essential,key_19636
esco,key_20671,essential,key_20002
esco,key_20672,essential,key_19458
esco,key_20672,essential,key_19590
esco,key_20672,essential,key_20002
esco,key_20672,essential,key_20154
esco,key_20672,essential,key_20179
esco,key_20672,essential,key_20217
esco,key_20673,essential,key_19422
esco,key_20674,essential,key_20056
esco,key_20674,essential,key_19458
esco,key_20674,essential,key_19730
esco,key_20674,essential,key_20096
esco,key_20675,essential,key_19784
esco,key_20675,essential,key_19942
esco,key_20675,essential,key_20386
esco,key_20675,optional,key_19886
esco,key_20675,optional,key_19778
esco,key_20676,essential,key_19458
esco,key_20676,essential,key_20154
esco,key_20676,optional,key_20417
esco,key_20677,essential,key_19807
esco,key_20677,essential,key_20138
esco,key_20677,optional,key_19545
