"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE"
"escooccupation","key_20525","essential","key_19875","",""
"escooccupation","key_20525","essential","key_20107","",""
"escooccupation","key_20525","optional","key_19797","",""
"escooccupation","key_20526","essential","key_19590","",""
"escooccupation","key_20526","essential","key_20295","",""
"escooccupation","key_20526","essential","key_20372","",""
"escooccupation","key_20526","optional","key_20115","",""
"escooccupation","key_20527","optional","key_19599","",""
"escooccupation","key_20527","optional","key_20225","",""
"escooccupation","key_20528","essential","key_19514","",""
"escooccupation","key_20528","essential","key_20150","",""
"escooccupation","key_20528","optional","key_19886","",""
"escooccupation","key_20528","optional","key_19546","",""
"escooccupation","key_20529","optional","key_19718","",""
"escooccupation","key_20529","optional","key_20404","",""
"escooccupation","key_20530","essential","key_19830","",""
"escooccupation","key_20530","essential","key_20415","",""
"escooccupation","key_20531","essential","key_19646","",""
"escooccupation","key_20531","essential","key_19959","",""
"escooccupation","key_20531","optional","key_19429","",""
"escooccupation","key_20531","optional","key_19653","",""
"escooccupation","key_20531","optional","key_19943","",""
"escooccupation","key_20531","optional","key_19973","",""
"escooccupation","key_20531","optional","key_20102","",""
"escooccupation","key_20531","optional","key_20106","",""
"escooccupation","key_20531","optional","key_20121","",""
"escooccupation","key_20531","optional","key_20155","",""
"escooccupation","key_20531","optional","key_20168","",""
"escooccupation","key_20531","optional","key_20384","",""
"escooccupation","key_20531","optional","key_19654","",""
"escooccupation","key_20531","optional","key_20154","",""
"escooccupation","key_20533","essential","key_19886","",""
"escooccupation","key_20534","essential","key_19458","",""
"escooccupation","key_20534","essential","key_19516","",""
"escooccupation","key_20534","essential","key_19566","",""
"escooccupation","key_20534","essential","key_19590","",""
"escooccupation","key_20534","optional","key_20282","",""
"escooccupation","key_20534","optional","key_20207","",""
"escooccupation","key_20536","essential","key_19556","",""
"escooccupation","key_20536","optional","key_19651","",""
"escooccupation","key_20536","optional","key_19734","",""
"escooccupation","key_20536","optional","key_19872","",""
"escooccupation","key_20536","optional","key_20154","",""
"escooccupation","key_20536","optional","key_20204","",""
"escooccupation","key_20537","essential","key_19546","",""
"escooccupation","key_20537","optional","key_20150","",""
"escooccupation","key_20538","essential","key_20359","",""
"escooccupation","key_20538","essential","key_19860","",""
"escooccupation","key_20539","essential","key_19960","",""
"escooccupation","key_20539","essential","key_19857","",""
"escooccupation","key_20539","essential","key_20407","",""
"escooccupation","key_20539","optional","key_20377","",""
"escooccupation","key_20540","essential","key_19753","",""
"escooccupation","key_20540","essential","key_19712","",""
"escooccupation","key_20541","essential","key_20314","",""
"escooccupation","key_20541","optional","key_19512","",""
"escooccupation","key_20541","optional","key_19803","",""
"escooccupation","key_20541","optional","key_19814","",""
"escooccupation","key_20541","optional","key_20243","",""
"escooccupation","key_20542","essential","key_19776","",""
"escooccupation","key_20544","essential","key_20386","",""
"escooccupation","key_20544","optional","key_19451","",""
"escooccupation","key_20544","optional","key_19865","",""
"escooccupation","key_20544","optional","key_19942","",""
"escooccupation","key_20545","essential","key_19476","",""
"escooccupation","key_20546","essential","key_20025","",""
"escooccupation","key_20546","essential","key_20154","",""
"escooccupation","key_20546","optional","key_20179","",""
"escooccupation","key_20547","essential","key_19590","",""
"escooccupation","key_20548","essential","key_20066","",""
"escooccupation","key_20548","essential","key_20107","",""
"escooccupation","key_20549","optional","key_19438","",""
"escooccupation","key_20549","optional","key_19831","",""
"escooccupation","key_20550","essential","key_20056","",""
"escooccupation","key_20550","essential","key_20410","",""
"escooccupation","key_20550","optional","key_19701","",""
"escooccupation","key_20550","optional","key_19988","",""
"escooccupation","key_20551","optional","key_19574","",""
"escooccupation","key_20553","essential","key_19741","",""
"escooccupation","key_20553","essential","key_19758","",""
"escooccupation","key_20554","essential","key_20355","",""
"escooccupation","key_20555","optional","key_20082","",""
"escooccupation","key_20556","optional","key_19455","",""
"escooccupation","key_20556","optional","key_19664","",""
"escooccupation","key_20558","optional","key_19973","",""
"escooccupation","key_20558","optional","key_20179","",""
"escooccupation","key_20559","optional","key_20016","",""
"escooccupation","key_20560","optional","key_19510","",""
"escooccupation","key_20560","optional","key_19782","",""
"escooccupation","key_20561","essential","key_19556","",""
"escooccupation","key_20562","optional","key_20359","",""
"escooccupation","key_20562","optional","key_19952","",""
"escooccupation","key_20563","optional","key_19438","",""
"escooccupation","key_20563","optional","key_19831","",""
"escooccupation","key_20564","essential","key_19556","",""
"escooccupation","key_20564","essential","key_20204","",""
"escooccupation","key_20564","optional","key_19590","",""
"escooccupation","key_20564","optional","key_19651","",""
"escooccupation","key_20564","optional","key_19665","",""
"escooccupation","key_20564","optional","key_19734","",""
"escooccupation","key_20564","optional","key_19872","",""
"escooccupation","key_20565","essential","key_19959","",""
"escooccupation","key_20565","essential","key_20096","",""
"escooccupation","key_20566","essential","key_19926","",""
"escooccupation","key_20566","optional","key_20021","",""
"escooccupation","key_20566","optional","key_19558","",""
"escooccupation","key_20566","optional","key_20345","",""
"escooccupation","key_20566","optional","key_20400","",""
"escooccupation","key_20567","essential","key_19556","",""
"escooccupation","key_20567","optional","key_19651","",""
"escooccupation","key_20567","optional","key_19665","",""
"escooccupation","key_20567","optional","key_19734","",""
"escooccupation","key_20567","optional","key_19872","",""
"escooccupation","key_20567","optional","key_20154","",""
"escooccupation","key_20567","optional","key_20204","",""
