ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C2162,key_85,"e2a80fa7-c0ef-47c7-bc1c-d049cf69a9eb
7fdae35b-dab5-4e0c-b86a-a82a9330853b
ee6164b4-63c5-4b7b-b2b5-e975fde5b6dc",2162,Architectes paysagistes,,
http://data.europa.eu/esco/isco/C2163,key_86,"b47bc1cf-4dc0-40cd-a2ab-1244ade2ad2e
b900603e-869c-4acd-b0a9-b7b2b251fb28
84319c5e-e800-481a-b7bb-f03edcbcb33f",2163,Concepteurs modélistes de produits et de vêtements,,
http://data.europa.eu/esco/isco/C2164,key_87,"0f29b120-2f37-40c3-b026-7a5c7e1bda01
0da899b3-5631-4d7e-8946-f0a442d9f85d
b2b3aa5e-0df9-45e7-8ebe-47d795c51417",2164,Urbanistes et ingénieurs de la circulation routière,,
http://data.europa.eu/esco/isco/C2165,key_88,"aadd082d-bef8-45a7-85e4-d090102b3730
200198b6-dafa-4d58-a46c-f92512cbab40
376a7c42-c33f-410c-b47b-679510f88889",2165,Cartographes et géomètres,,
http://data.europa.eu/esco/isco/C2166,key_89,"189f1ba5-d518-40ed-aaa0-5db0a50a03fe
e0c45841-cd09-4034-a1f6-85429fa82a2b
e41c6767-8fdc-457e-8e96-f64c3a1497ab",2166,"Concepteurs graphiques, multimédia – graphistes",,
http://data.europa.eu/esco/isco/C22,key_90,"c475b8aa-1c45-4034-9ffa-8da05cf41257
612509ef-419f-43fa-adb7-465638edf44e
81916892-54a7-43d5-8bc6-1d64fea32d88",22,Spécialistes de la santé,,
http://data.europa.eu/esco/isco/C221,key_91,"33a29bcb-2da4-4386-97a2-e553e08bf196
fd8343c4-0177-40e2-b257-c3dac9cfa2c0
40f377f6-f2d4-4777-b646-7e9bb7405e14",221,Médecins,,
http://data.europa.eu/esco/isco/C2211,key_92,"6eb9d0e8-a63a-42b0-9726-bf5899ed38ee
c0aabb16-3f2d-47cb-8174-9eb12e95536c
878ed446-3962-46a6-8d6c-5e0517dd5809",2211,Médecins généralistes,,
http://data.europa.eu/esco/isco/C2212,key_93,"2e52cfdc-806a-4bb5-906a-3d7734add0db
fbf23cbd-3367-4784-b985-15a15eba4f4f
4244db5f-5f06-4897-8428-a201bfee047b",2212,Médecins spécialistes,,
http://data.europa.eu/esco/isco/C222,key_94,"d555da79-995a-49e1-9ae5-c1e3b485a474
a90e9257-2804-4019-ba2e-5a528db3c9d2
cc355c36-fd65-4a30-9428-32133d6be35a",222,Cadres infirmiers et sages-femmes,,
http://data.europa.eu/esco/isco/C2221,key_95,"d0ece715-4244-4a71-9c25-a91b6f98591d
8bea0848-6429-4b64-ba7f-4526b59e25dc
6c29b051-3144-4272-b6a8-5482bfaccbb2",2221,Cadres infirmiers,,
http://data.europa.eu/esco/isco/C2222,key_96,"a223db68-63f0-4a1e-9786-dfad5b657b07
1386c031-1139-458f-af5a-4bbcb0679448
19ad7180-0e0a-415e-adbe-1e438278cbca",2222,Sages-femmes,,
http://data.europa.eu/esco/isco/C223,key_97,"2d3a4f98-d66e-406e-a9d9-2d45e009a745
b9eac313-ec5f-46e6-b72c-348ea22e4941
165dfa03-c8d7-487d-bfcc-f12e0c513aa7",223,Spécialistes des médecines traditionnelles et des médecines complémentaires,,
http://data.europa.eu/esco/isco/C2230,key_98,"4a01ab94-9f3b-46da-82ee-0dc2925f41b2
4d46faa9-1f2c-410c-a7d0-76d4db0df855
446543be-e358-41e2-b2a9-d92837370ae2",2230,Spécialistes des médecines traditionnelles et des médecines complémentaires,,
http://data.europa.eu/esco/isco/C224,key_99,"31528b3b-fc37-4fe7-8efe-ea3470418922
f07e037f-b34d-40b4-a37f-9c0cbdc40e92
5a6b9fc5-86eb-4cdb-9322-012c18977207",224,Praticiens paramédicaux,,
http://data.europa.eu/esco/isco/C2240,key_100,"c5bdee4e-2f04-48bb-85d7-58075b45d3d8
c070507a-b103-44d7-bf5e-0a5636ab38a9
8e28544f-aff3-42cc-b942-e71e4a6a8e7a",2240,Praticiens paramédicaux,,
http://data.europa.eu/esco/isco/C225,key_101,"9bd69ee3-e4e6-4b9b-b2b2-6ed8821546d1
93eff16b-0271-4018-9c0a-b838d1f3d84c
2fbf8ac8-c68d-4c58-b976-350384cc5421",225,Vétérinaires,,
http://data.europa.eu/esco/isco/C2250,key_102,"4aeff724-4c34-4f94-9f3d-d4c42fbdb858
a1a0d76c-f731-4ed4-932a-b9e872faf9d5
568d6b92-81a3-425c-b12c-9de957630dd9",2250,Vétérinaires,,
http://data.europa.eu/esco/isco/C226,key_103,"ea6ec143-9fed-4580-b549-a66850e49b5e
38c1e46e-700b-4eb9-b3a0-4bd0211f2416
2da8ed1c-8fa2-4942-a919-1a15203cea35",226,Autres spécialistes des professions de la santé,,
http://data.europa.eu/esco/isco/C2261,key_104,"42acbcb3-34cb-4ebd-815c-f2b0bfb7115d
339e01b7-c41f-4be1-b25e-894ae3661a3b
c3955187-fbfd-4fed-ae59-eebc0babf7b7",2261,Dentistes,,
http://data.europa.eu/esco/isco/C2262,key_105,"040ab5ee-e0a5-4c22-aebf-8cb31c237740
16448071-ca88-41b7-9c93-e0e86fe0f2f3
16a66769-7fe6-4051-b936-390ee8c52127",2262,Pharmaciens,,
http://data.europa.eu/esco/isco/C2263,key_106,"8a1ca1b7-6f13-41d6-9229-60e83d365fa1
7ca064ae-387b-46f4-ac03-3df237ce9ec3
9cdb83c4-f66a-44ae-99cb-f1df1b3e8727",2263,"Spécialistes de la salubrité de l’environnement, de l’hygiène et de la santé au travail",,
