ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0222,key_655,"4b1f576a-8163-46f9-929a-ed7b19032fcb
453f49f3-220f-45d9-ae70-86bc18afab26
61831eef-b8fd-4342-878d-5ba0abab4f03",,histoire et archéologie,,,
http://data.europa.eu/esco/isced-f/0223,key_656,"068b79a4-90cc-4384-ac7e-187f26af23eb
0409e6d8-a694-4ec0-9a50-eeb69dd6e022
97e701b3-e8b4-4329-9ac2-ed00a1b32c45",,philosophie et morale,,,
http://data.europa.eu/esco/isced-f/0228,key_657,"47fc85b8-1b4a-4f70-ab7e-4bd63da0bf3a
a26afdbf-f3a7-4a51-a82d-943dc0bc67d7
bedb5a1f-6531-4003-bfe4-fb9cac20f1cf",,programmes interdisciplinaires et certifications impliquant les lettres,,,
http://data.europa.eu/esco/isced-f/0229,key_658,"78b9dcb3-c280-4ad7-840f-b66018c8e5de
429fecd8-5383-421a-94fa-9df690ca9102
c126f890-d177-4f4c-a455-48af5a80235a",,lettres (à l’exception des langues) non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/023,key_659,"5a94a02b-0fb6-447f-9b83-6dc7ce7e8d2a
f3054b55-cbb5-489b-b0b9-9225c69d7832
6a9e256b-ba9d-4305-8c07-f35662c55529",,langues,,,
http://data.europa.eu/esco/isced-f/0230,key_660,"27295a80-cd0f-4193-92b7-6a571e047223
e5321e63-8371-41c9-a55d-8bdb9c4bd8d2
148fb66b-3a5a-40a0-b16b-950abcec010b",,langues non définies,,,
http://data.europa.eu/esco/isced-f/0231,key_661,"93cd228f-1e90-433e-98bc-c41d089dc016
664d6d1b-5d45-4934-bb07-78e29e0e9f7d
e9f612b0-a097-44d4-a585-c681df726179",,acquisition d’une langue,,,
http://data.europa.eu/esco/isced-f/0232,key_662,"30be89a4-bf12-4ea7-ab1f-67227b22d5d4
2318aab6-0fd9-403b-8241-93d8f651bcfd
d0cd89f5-76f9-46fa-9d05-d0a50e68d544",,littérature et linguistique,,,
http://data.europa.eu/esco/isced-f/0239,key_663,"0a29c67d-b922-4387-8b15-425fcbd65e05
92df7fb0-de31-400b-87bd-c6e052506fbb
73ab4ef4-53eb-499f-8646-f763260cfdab",,langues non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/028,key_664,"4990b45b-41a8-4150-8579-199e4c26817f
c5457b5d-7ecc-4277-bd8e-4988c09ee5a8
3ac0dafa-2aa3-41b6-9575-d08759b85e37",,programmes interdisciplinaires et certifications impliquant les arts et les lettres,,,
http://data.europa.eu/esco/isced-f/0288,key_665,"f61d0323-5c18-4500-98dc-092bcc9d3036
50094f6a-04c0-437a-9180-7f34aa1696ba
0d8c45c9-230a-4ee4-9bc4-db090e5f221d",,programmes interdisciplinaires et certifications impliquant les arts et les lettres,,,
http://data.europa.eu/esco/isced-f/029,key_666,"d4d74367-2192-44ab-87ea-a24660d4cb05
b534f26b-3be9-4006-8a23-5e5603697370
8d8a94a6-4f75-4aff-98a7-8a7da0e59145",,arts et lettres non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/0299,key_667,"a68742f9-ebdd-449e-ae3c-e800fecc0f3f
484f2a56-aa88-4e50-9917-07f3974a163c
d9050d04-ff8c-44b8-b100-87b9074a7c3e",,arts et lettres non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/03,key_668,"0f85b7d4-e7e1-4a24-890d-c0ec58cf1609
230663d8-54ec-4a1b-bb5e-7fcc156fff3b
b64743ba-56a8-4005-82d4-c7e001154c84",,"sciences sociales, journalisme et information",,,
http://data.europa.eu/esco/isced-f/030,key_669,"e0d36d51-270f-4bf6-b783-e7fbbd56166e
057cf6f7-12bb-46da-9f64-79fbaa62bb2c
4c7704e7-b754-403b-896e-1919901f557f",,"sciences sociales, journalisme et information non définis",,,
http://data.europa.eu/esco/isced-f/0300,key_670,"9655453b-a8f5-48f1-9478-0e6495f22f08
fd6b9eb8-1167-4d04-a667-94beb7f64b6e
82246bb8-2d5d-4231-819d-65a013523858",,"sciences sociales, journalisme et information non définis",,,
http://data.europa.eu/esco/isced-f/031,key_671,"a3cac8c2-69b2-4eba-b20b-cc2e67c17813
7159ad75-4eca-43a6-a4c2-8155411acc3a
acb4a9e2-3a9c-4856-aaa7-68d38c32d7a4",,sciences sociales et du comportement,,,
http://data.europa.eu/esco/isced-f/0310,key_672,"cf8eb769-71a9-4373-b6c0-36c506f94e88
64d5c600-337d-4200-9597-e0a3d2ea6769
317a5207-0082-4662-b20f-674e7150b026",,sciences sociales et du comportement non définies,,,
http://data.europa.eu/esco/isced-f/0311,key_673,"7b965c8e-5df9-498c-bf0f-75849d4d2b62
de6aa263-2843-43e8-b074-9e2ee079cf57
3a6a02d5-39df-453c-a42d-1849afdb03f5",,économie,,,
http://data.europa.eu/esco/isced-f/0312,key_674,"1ff0c214-d288-4d78-bb71-a08d24843ffa
afbad2f2-7591-489c-b875-e7b4a6809afd
64e38f83-5cf7-498b-a14d-b42838394202",,sciences politiques et éducation civique,,,
http://data.europa.eu/esco/isced-f/0313,key_675,"efa0b213-c70f-4c37-bdd6-41730cf47ebe
a90bb1ca-d453-4005-ab11-6cad5f2aa8ea
f301fac8-7f28-40c2-86cb-594b47f258db",,psychologie,,,
http://data.europa.eu/esco/isced-f/0314,key_676,"41b71acd-fc1d-4ee0-a17f-0bd6167fa707
4fa246f2-5270-4743-8570-6f62fac397f6
e813a331-1daa-4f0d-be33-ad724aa9f1d4",,sociologie et études culturelles,,,
http://data.europa.eu/esco/isced-f/0319,key_677,"919291b8-9fb4-4a51-9253-05fb8e13ee77
9da6f5e2-611d-4471-a36b-caf0ff7195b3
c3926ac5-574a-4bae-aa7b-e870ff7857b1",,sciences sociales et du comportement non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/032,key_678,"51c5b1f4-2e2b-4b1d-afd7-e99777e50943
61d4ef09-a273-4207-b87b-c2d3d9b4b3e0
8aff78ba-8ac5-40d7-8ee8-7c0a3b560ddb",,journalisme et information,,,
http://data.europa.eu/esco/isced-f/0320,key_679,"0801d29a-3d7f-4fab-9593-32b446e9e2a6
1a95f1d3-3d1f-47f5-a7ff-fa5c4fa6121d
ff4688dd-4f7c-40ba-9f46-bd46f8afd146",,journalisme et information non définis,,,
http://data.europa.eu/esco/isced-f/0321,key_680,"8fc7d500-b74c-4e1f-96e3-915fb4f76d4f
abc385a2-f75b-435d-8d6a-f275b41dad78
02dba9e2-0848-4293-9a20-2cc3b5a0d872",,journalism and reporting,,,
http://data.europa.eu/esco/isced-f/0322,key_681,"ca2e9d38-cc49-4465-987a-986c7a51f4eb
479da7ec-43e2-4e0d-a2e3-4d1bc389bfc0
28679124-db7e-4ea6-969a-6210a759874c",,"library, information and archival studies",,,
http://data.europa.eu/esco/isced-f/0329,key_682,"1591db9f-a82e-405c-b731-9cc84766570c
ce51998d-1acf-48e7-8416-ab223e983aba
56260fe4-2779-4056-9c9e-742bd55a8eb1",,journalisme et information non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/038,key_683,"c04797e9-c8fb-4cff-bb18-0dd212ea80cd
de3b00fe-81bd-43e7-891a-1fbbfab7ae7c
ad79965e-3b89-4bf8-be43-393873624f51",,"programmes interdisciplinaires et certifications impliquant les sciences sociales, le journalisme et l'information",,,
http://data.europa.eu/esco/isced-f/0388,key_684,"e353b27b-2151-4f3b-bfd6-2b371bfcc0b6
ebd8938a-2247-44ba-ad1d-698739944a18
eb7e3825-1cda-415a-a851-52914daa2b0c",,"programmes interdisciplinaires et certifications impliquant les sciences sociales, le journalisme et l'information",,,
http://data.europa.eu/esco/isced-f/039,key_685,"4d5c5e99-e034-4718-b218-2ea32020afe6
055c6434-d8ec-4e08-9d02-a25dc0083ef8
c4b11aa8-fac5-46f2-a913-2b0f62359cb4",,"sciences sociales, journalisme et information non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/0399,key_686,"951803ae-b8ca-4a64-a337-b760050dd4a8
277163ca-1e97-42a4-a888-17fea206d902
259a74fe-d42e-4757-9e26-a94d43518522",,"sciences sociales, journalisme et information non classés ailleurs",,,
