originalSkillUri,originalSkillType,relationType,relatedSkillType,relatedSkillUri
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e
http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0e13adb5-f135-429b-94c3-24cc1cf1b1ac
http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5660c82d-b80b-4883-b474-8ef387969fb5
http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/57b7804d-048b-4293-b8ac-a105d0468883
http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/ce6a9c03-7d45-4551-b47c-d6af1110f6a0
http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/6f45a77d-9208-40f2-a116-ac99c77ef580
http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f2bd9b7d-85b3-40c5-b999-d505e6fe702b
http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/cbb330ab-55ac-4eec-b54c-b85c6219f508
http://data.europa.eu/esco/skill/02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/73c22209-d78f-4847-b213-e48409d704a9
http://data.europa.eu/esco/skill/02e0b3e9-c9e0-4063-983b-b5a7697e0f78,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/3eb03076-6fb4-48a1-8b36-36b5a5031ead
http://data.europa.eu/esco/skill/02f115d8-9e14-499c-97c1-f9eac282edc5,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f8aa753b-25d3-403f-9634-17c603ab1de0
http://data.europa.eu/esco/skill/0329ab41-3212-4e4f-8112-9e9ff5217f7b,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/dfb76ee8-1e49-4371-b0ef-ea132d93aaca
http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/07b83472-11f3-45f8-8855-987aa600581f
http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/48ef980b-5b37-47e0-8fd9-c2d797b191ac
http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5d9d5582-2a36-4887-98fc-cff1ba767983
http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/1b1c2d44-c487-4121-a2ed-dcda651f4d59
http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/226bed46-7b67-4dad-9f2f-0c77e381e845
http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/8bd49d04-ab2f-4333-b5d9-12d716e4e2f6
http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/b7ff512a-8bce-4918-b11b-7c388892472c
