UUID,OriginUUID,TabiyaURI,ESCO_UUID,altLabels
,,,,"industrial arts teacher
industrial arts instructor
technical handicraft teacher
industrial arts educator
educator in industrial arts
vocational instructor in industrial arts
technical handicraft instructor
industrial arts vocational teacher
vocational teacher in industrial arts
industrial arts vocational instructor"
,,,,"site worker
groundworker
civils operative
civil engineering company worker
construction worker
civils worker
civils ground worker
ground worker
building worker
civil engineering worker
civil engineering contract worker
civils groundworker"
,,,,"helicopter pilot
commercial helicopter pilot
pilot of helicopters
airline helicopter transport pilot
helicopter operator"
,,,,"pool attendant
swimming pool cleaner
attendant in swimming pool
swimming facility attendant
swimming pool attendant
beach attendant"
,,,,"marketing adviser
marketing specialist
marketing advisor
strategic marketing consultant
marketing analyst
digital marketing strategist
marketeer
air transport marketer
sales and marketing consultant
marketing campaign planner"
,,,,"advertising media buyer
advertising media specialist
space buyer
media buyer
press buyer
radio buyer
media buyer and planner
TV buyer
media space buyer
senior media buyer
media buyer & planner
international media buyer
media and advertising buyer
advertisment media buyer
radio media buyer"
,,,,"professor of journalism
journalism and media docent
lecturer in journalism and media studies
journalism lector
journalism lecturer
media studies lecturer
journalism and media professor
journalism and media teacher
journalism and media instructor
university journalism lecturer
professor of media studies
journalism and media lecturer
specialist lecturer in journalism
higher education journalism teacher
media studies teacher
journalism teacher
university lecturer in journalism
lecturer in journalism
media studies instructor
lecturer in journalism and media
media studies docent
journalism docent
media studies professor
lecturer of journalism
journalism instructor
instructor in journalism
journalism professor"
,,,,"process control operator
monitoring panel operator
process plant operator
gas processing control room manager
gas processing plant control room operator
control panel monitor
gas processing control room technician
panel board operator
gas processing plant operator
gas processing control room supervisor
gas process operator
panel controller
process control room operator
plant monitoring operator"
,,,,"wave energy plant operator
marine wave energy operator
marine renewable energy plant operator
wave farm operator
ocean energy plat operator
ORE plant operator
marine wind energy technician
wave energy operator
marine wind energy operator
marine tidal stream operator
offshore wind energy operator
tidal farm operator"
,,,,"jewellery shop manager
diamond shop manager
diamonds and precious metals jewellery shop manager
diamonds and precious metals store manager
jewelry and watches shop manager
diamond store manager
jewellery store manager
jewellery and watches store manager
luxury watches and diamond jewellery shop manager
luxury watches and diamond jewellery store manager"
,,,,"dredde operator
dredge operator
port dredge operator
port dredger operator
dredger operator
dredge operatr"
,,,,"fuel specialist
fuel chemist
natural gas specialist
biofuel engineer
gas liquids engineer
natural gas engineer
chemical engineer
biofuel specialist
fuel engineer
fuel system engineer
liquid fuel engineer
liquid fuel system maintenance engineer
petrol specialist
petrol engineer"
,,,,"performance rental monitor
load cell hire technician
rental equipment performance technician
rental equipment performance engineer
performance rental technician
sound equipment hire technician
lighting hire equipment technician
venue performance monitor
equipment technician
venue technician (rental equipment)
equipment hire technician
weight report technician
performance rental engineer
special effects hire equipment technician"
,,,,"marketing practitioner
general marketing assistant
marketing operations assistant
marketing assistant
marketing executive assistant
marketing associate
marketing officer"
,,,,"visual journalist
photographic journalist
photo-journalist
multi media image journalist
photo reporter
photo correspondent
news photographer
photo journalist
photojournalist
image journalist
investigative photographer
newspaper photographer"
,,,,"adhesive bonding machine setter
edgebander operative
edgebander tender
banding machine tender
edge bander operator
edge bander tender
edgebander setter
adhesive bonding machine worker
edge bander setter
adhesive bonding machine operator
edge bander operative
adhesive bonding machine tender
banding machine setter
edge bander worker
adhesive bonding machine operative
banding machine operative
banding machine worker
banding machine operator
edgebander worker"
,,,,"wholesale trader in pharmaceutical goods
business to business sales consultant in pharmaceutical goods
trainee wholesale merchant in pharmaceutical goods
wholesaler in pharmaceutical goods
graduate wholesale merchant in pharmaceutical goods
wholesale merchandiser in pharmaceutical goods
B2B sales consultant in pharmaceutical goods
senior wholesale merchant in pharmaceutical goods
wholesale buyer in pharmaceutical goods
assistant wholesale merchant in pharmaceutical goods
business to business seller in pharmaceutical goods
wholesale merchant in pharmaceutical goods"
,,,,"language technology engineering consultant
language technology engineering adviser
computer-aided translation engineer
language engineer
language engineering consultant
language technology engineering expert
language technology engineer
computer-assisted translation engineer
linguistic engineer
machine translation engineer
CAT engineer language engineering expert
language engineering adviser
language technology engineering specialist
language engineering specialist
language technologist"
,,,,"hospitality entertainment manager
entertainments manager
cruise entertainment manager
holiday entertainment manager
holiday camp entertainment manager
amusement manager
entertainment manager
resort entertainment manager"
,,,,"mani-pedi attendant
pedicurist
foot care attendant"
,,,,"halal meat boner
halal butcher
halal meat butcher
halal meat slicer"
,,,,"animators
computer animation artist
animation designer
3D animation artist
cartoon animator
2D animator
hand-drawn animator
computer animator
3D animation specialist
animation specialist
3D animation designer
3D computer-generated imagery animator
2D computer animation artist
2D hand-drawn animator
3D computer animation artist
traditional animator
2D animation artist
2D animation specialist
animator
CGI animator
2D animation designer
animation artist"
,,,,"cotton spinner
thread spinner
spinning machine tender
spinning-frame tender
spinning mechanic
yarn spinners
staple yarn spinner
yarn spinner
spinning mechanics"
,,,,"lecturer in communication and media
communications instructor
lecturer in communications
communications teacher
university communications teacher
professor of communications
communication and media lecturer
communications docent
communications lecturer
communications lector
professor of communication
university lecturer in communications
university communications lecturer
communications professor
lecturer of communications
higher education communications teacher"
,,,,"ATM servicer
cashpoint repair technician
ATM repair technician
cash machine repair technician
automated teller machine repair technician
automatic teller machine repair technician"
,,,,"electrical maintenance technician
maintenance electrician
electrical installer
electrical services installer
electrical maintenance worker
wirewoman
electrical worker
installation electrician
wireman
electrician
electrical systems installer"
,,,,"gambling, betting, and lottery quality assurance engineer
gaming quality assurance engineer
betting quality controller
lottery quality assurance engineer
lottery quality controller
betting quality assurance engineer
test operator in gambling
gambling quality controller
gambling engineer"
,,,,"wood and construction materials logistics planner
trainee wood and construction materials distribution manager
senior wood and construction materials distribution manager
wood and construction materials supply chain manager
assistant wood and construction materials distribution manager
wood and construction materials supply chain planner
wood and construction materials distribution manager
wood and construction materials distribution planner
wood and construction materials logistics manager
graduate wood and construction materials distribution manager"
,,,,"prosthetics maker
special effects & make-up artist
special effects and make-up artist
theatre makeup artist
make up artist
special effects and make up artist
prosthetics make up artist
prosthetics and make up artist
special effects & make up artist
special effects make-up artist
prosthetics & make-up artist
prosthetics and make-up artist
prosthetics make-up artist
prosthetics & make up artist
make-up artist
make-up specialist
fashion makeup artist
makeup stylist
prosthetics builder
make up consultant
special effects make up artist
make up specialist
make-up consultant"
,,,,"property underwriter
home office insurance underwriter
property insurance underwriter
property and automobile underwriter
property insurance assessor"
,,,,"winery cellar master
wine producer
oenologist
wine maker
wine advisor
wine production expert
wine production specialist"
,,,,"sommelier
wine manager
wine waiter
restaurant sommelier"
,,,,"bookbinder
binder
binder machine operator
perfect binding operator
binding machine operator
binding machine tender
bindery worker
bindery technician
perfect binder specialist
bookbinding machine operator
binder technician
bindery specialist
perfect bindery specialist
perfect binder technician
bindery operator
binder machine tender
bindery operative
paper binder
bindery machine operator
perfect binder operator
printing stitcher operator
perfect bindery technician
binding operator
bindery machine specialist
binder operator
perfect bindery operator
binder specialist
bindery machine technician"
,,,,"bilingual dictionary editor
linguistic lexicographer
lexicographer
senior lexicographer
bilingual dictionaries lexicographer
lexicologist
dictionary editor
computational lexicographer"
,,,,"lottery shop general manager
lottery shop senior administrator
lottery manager
lottery managing director
lottery shop managing director
lottery shop chief executive officer
lottery chief executive officer
senior lottery administrator
lottery general manager
general manager
lottery shop manager"
,,,,"dispatcher of freight
freight dispatching operator
air freight dispatcher
dispatcher
freight dispatcher
freight transport dispatcher
dispatching officer
freight dispatching officer
freight transportation dispatcher
freight logistics dispatcher"
,,,,"Licensed chiropractor
etiopath
musculoskeletal therapist
neuromusculoskeletal therapist
chiropractor"
,,,,"drawing machine worker
drawing machine operative
drawing kiln operator
drawing kiln worker
glass production operative
glassmaker
flat glass kiln operator
drawing kiln operative
glass kiln operator
glass operative"
,,,,"fast food team leader
fast service team leader
fast food shift team leader
fast service shift team leader
quick service restaurant team leader"
,,,,"assistant technical sales representative in hardware, plumbing and heating  equipment
technical saleswoman in hardware, plumbing and heating equipment
technical salesperson in hardware, plumbing and heating equipment
technical sales representative in heating equipment
technical salesman in hardware, plumbing and heating equipment
trainee technical sales engineer in hardware, plumbing and heating  equipment
senior technical sales representative in hardware, plumbing and heating  equipment
graduate technical sales representative in hardware, plumbing and heating  equipment
technical sales representative in hardware
hardware sales representative
senior technical sales engineer in hardware, plumbing and heating  equipment
technical sales representative in hardware, plumbing and heating equipment
hardware, plumbing and heating sales representative
trainee technical sales representative in hardware, plumbing and heating  equipment
heating product sales representative
graduate technical sales engineer in hardware, plumbing and heating  equipment
assistant technical sales engineer in hardware, plumbing and heating  equipment
technical sales representative in plumbing"
,,,,"back grinding machine operator
surface grinding machine operator
filling and grinding machine operator"
,,,,"mine operative
surface miner
surface mining operative
quarry stationary plant operative
collier"
,,,,"sole stitcher
sole blacker
shoe cementer
sole and heel operator
heel nailing machine operator
heel nailing machine tender
sole cementer"
,,,,"healthcare general manager
general manager healthcare
healthcare operations manager
hospital operations supervisor
health service manager
healthcare operations director
general manager
hospital operations manager
healthcare director
healthcare institution manager"
,,,,"hand winder, insulating tubes
winding technician
insulating tube winder
winder, insulating tubes
tube winder
tube winding machine operative
convolute tube winder
tube winding machine tender
tube winding machine setter
tube winding machine operator"
,,,,"construction materials engineering adviser
materials engineering expert
construction materials engineering specialist
advanced materials engineer
building materials engineering specialist
materials engineering consultant
construction materials engineering consultant
construction materials engineering expert
construction materials engineer
materials engineering adviser
building materials engineering expert
material engineer
building materials engineering adviser
building materials engineer
materials engineering specialist
ceramic engineer
materials engineer
building materials engineering consultant"
,,,,"enforcement agent
revenue compliance officer
tax payment enforcement officer
tax enforcement officer
tax compliance officer
taxpayer compliance officer
council tax officer
tax compliance agent
tax officer"
,,,,"special forces corporal
regimental corporal
corporal
lance corporal
batallion corporal
master corporal
army corporal
royal marines corporal
armed forces corporal"
,,,,"assistant pathology technician
anatomical pathology technician
technician in anatomical pathology
pathology technician
pathology laboratory services technician
assistant in anatomical pathology
anatomical pathology technologist
mortuary technician
anatomical pathology technical assistant
pathology laboratory technician"
,,,,"heat treat operator
process engineer, metallurgical
heat treating operator
materials engineer
plastic heat treatment equipment operator
heat treat technician
heat treating equipment setter
heat treatment equipment engineer
metallurgical process engineer
heat treating equipment operator"
,,,,"dressage instructor
equine trainer
horse riding trainer
horse riding coach
racehorse trainer
riding school trainer
equestrian centre instructor
horse riding instructor
riding instructor
horse trainer
riding school instructor
equestrian centre trainer
jockey trainer"
,,,,"auto mechanic
PCV technician
automotive technician
car mechanic
bus technician
heavy vehicle technician
vehicle technician
coach technician
motorcycle mechanic
automotive maintenance technician
motor vehicle mechanic
road vehicle mechanic
senior bus technician
moped mechanic
bus and coach technician
LGV technician
moped technician
truck mechanic
motorbike mechanic
automotive mechanic
moped repairer
motorbike technician
vehicle mechanic
light vehicle technician
van mechanic
bus mechanic
motorbike repairer"
,,,,"army surplus goods salesperson
second hand bookshop salesperson
vintage clothes salesperson
second-hand goods specialized seller
thrift shop specialised seller
army surplus goods specialised seller
second-hand goods salesperson
charity shop specialised seller
thrift shop salesperson
vintage clothes specialised seller
charity shop salesperson
second hand goods specialised seller"
,,,,"membership sales manager
membership director
membership manager
member records manager
subscription manager
membership supervisor
membership account manager
membership management officer
membership coordinator
regional membership manager
club manager
membership and subscription manager"
,,,,"community counsellor
social  services worker
community rehabilitation worker
cultural mediator
social outreach worker
community service worker
community liaison worker
social and community services worker
social services worker
welfare worker
community centre worker
assistant, social services
community worker
community and social services worker
child and youth worker
social worker
community services officer
social services assistant
community development worker"
,,,,"home furnishing salesperson
home furnishings salesperson
home furnishing specialised seller
lightning equipment and accessories salesperson
furniture and lighting sales person
furniture salesperson
furniture and lighting specialised seller
furniture specialized seller
lightning equipment and accessories specialised seller
home furnishings specialised seller
home articles salesperson
home articles specialised seller"
,,,,"environmental impact assessment manager
environmental manager
environmental field office manager
environmental safety specialist
environmental protection manager
environmental protection specialist"
,,,,"IT business analysis director
IT business analysis manager
IT commercial analysis manager
lead IT business analyst
ICT business analysis managers
ICT commercial analysis manager
ICT business analysis manager"
,,,,"print studio team leader
print senior specialist
print senior technician
print production supervisor
superintendent in the printing industry
print studio supervisor
print senior operator
master bookbinder
print studio teamleader
production supervisor in the printing industry
print and production supervisor
print shop supervisor
master printer"
,,,,"paper machine specialist
paper making machine specialist
paper making machine technician
paper machine hand
paper making machine operator
paper machine technician
paper maker
paper-making machine specialist
paper machine operator
paper-making machine operator
paper-making machine technician"
,,,,"disc grinder
billet grinder
edge grinder
automatic grinder operative
blade grinder
bench grinder
roll grinder
rolling grinder
drill grinder
automatic grinder operator
broach grinder
air grinder
bit grinder
cylindrical grinder operator
plate grinder
bearing grinder
rail grinder
emery grinder
crankshaft grinder
razor grinder
metal grinder"
,,,,"food technology specialist
food technologist
food technology expert
food tech expert
food tech specialist"
,,,,"shipment consolidator
freight forwarder
non-vessel operating common carrier
NVOCC"
,,,,"oceanography scientist
marine physicist
oceanography researcher
oceanography science researcher
oceanography analyst
oceanography research scientist
marine geologist
marine chemist
marine research scientist
oceanographers
oceanography research analyst
oceanographer"
,,,,"leather chemical laboratory technician
leather chemical technician
leather tester
leather chemist
leather chemical tester
leather dye and chemical coordinator
leather testers
leather laboratory technician
leather laboratory technicians"
,,,,"securities tellers
securities sales agent
securities sales directors
securities teller
securities sales director
securities clerks
securities clerk
securities trader
securities sales agents"
,,,,"youth resettlement officer
juvenile probation social worker
youth resettlement worker
youth offending team leader
youth offending team officer
youth offending team worker
youth offender social worker
youth justice worker
juvenile probation officer
youth offender team worker"
,,,,"aeronautical information officer
officer in aeronautical information
aeronautical information service officer
aeronautical data service officer"
,,,,"fire protection engineer
fire prevention and protection engineering adviser
fire protection and prevention engineer
fire prevention engineer
fire prevention and protection technology engineering adviser
fire prevention and protection technology engineering specialist
fire prevention and protection engineering specialist
fire prevention and protection engineering expert
fire prevention and protection technology engineering expert
fire prevention and protection technology engineer
fire prevention and protection engineer
fire prevention and protection technology engineering consultant
fire prevention and protection engineering consultant"
,,,,"airport general manager
airport manager
airport chief executive
airport CEO
general director of airport
airport chief operating  officer"
,,,,"manuscripts editorial director
book editorial director
book editor and publisher
acquisitions editor
senior book editor
book editor and consultant
editorial director of publications
children's book editor
book editor and project manager
commissioning editor
book editor"
,,,,"graduate import export manager in office furniture
senior export manager in office furniture
trainee import export manager in office furniture
senior import manager in office furniture
graduate export manager in office furniture
assistant import export manager in office furniture
trainee export manager in office furniture
trainee import manager in office furniture
assistant export manager in office furniture
international trade compliance manager in office furniture
international trade manager in office furniture
graduate import manager in office furniture
import export manager in office furniture
assistant import manager in office furniture
customs compliance manager in office furniture
senior import export manager in office furniture"
,,,,"advice worker, benefits
welfare benefits advice worker
welfare rights worker
social benefits social worker
benefits advice worker
welfare rights adviser
welfare benefits adviser
welfare rights counsellor
welfare benefits social worker
employment and benefits advice worker
benefit advisor
welfare rights officer
social security social worker"
,,,,"residential electricity sales representative
electric power sales consultant
electricity sales consultant
electricity seller
electricity sales representative
electricity saleswoman
electricity salesman
electricity sales promoter
electric power sales promoter
electricity salesperson
electric power sales negotiator
electric power seller
electricity sales negotiator
electricity sales rep"
,,,,"investors relation manager
investment strategy manager
investor relations manager
investor relations director
investor relations supervisor"
,,,,"core winder machine operator
winding operator
winder operator
winding machine operator
machine bobbin winder
winding machinist
winding machine tender
core winding operator
winder tender
bobbin winder"
,,,,"family service worker
family support worker
early intervention worker (families)
family advice worker
early help family worker
family social care worker
family worker (early intervention)
intensive family support worker
family engagement worker
children and families support worker
family intervention worker"
,,,,"fire suppression engineer
fire risk assessor
fire and security systems engineer
fire protection service engineer
fire alarm service technician
senior fire engineer
fire protection technician
fire and security maintenance engineer"
,,,,"counter-terrorism analyst
intelligence research specialist
research and intelligence officer
cyber investigator
criminal intelligence analyst
intelligence investigator
intelligence research officer
intelligence officer
housing intelligence officer
research & intelligence officer
military intelligence officer
intelligence analyst"
,,,,"neighbourhood warden
environmental warden
street warden
bylaw enforcement officer
community support officer
special constable
community safety warden
countryside ranger
warden
neighborhood warden"
,,,,"on-the-scene reporter
foreign correspondent
foreign journalist
foreign news correspondent
international correspondent
foreign affairs correspondent
foreign reporter"
,,,,"hewer
coal digger
underground miner
underground mine worker
underground mining operative
coal cutter
coal excavator
underground mineworker
underground mine operative
coal hewer
collier"
,,,,"official vet
public health veterinarian
veterinary inspector
state vet
official veterinarian
government vet
government veterinary officer"
,,,,"3D printing operator
printing machine technician
3D print service technician
printer repairman
3D printing repairer
3D printing technician
3D printing repairman
print service technician
printing field service technician
3D printer operator
3D printer repairman
printer technician
3D printing prototyping technician
printer repairer
prototyping technician
3D printer repairer
3D printing field service technician"
,,,,"shotgun operator
boom holder
film boom operator
boom operator
production sound mixer assistant
sound equipment technician
shotgun microphone operator
TV boom operator"
,,,,"assistant in early years education
nursery teaching aide
kindergarten teaching assistant
preschool teaching aide
early childhood teaching aide
early years TA
assistant in early years teaching
reception teaching assistant
nursery teaching assistant
preschool teaching assistant
early years education assistant
early childhood teaching assistant"
,,,,"electronic technology engineering consultant
electro engineer
electronics engineering expert
electronics engineering consultant
electronics engineering specialist
electronic technology engineer
electronic technology engineering expert
electronics engineering adviser
electronics engineer
electronic technology engineering specialist
electronic technology engineering adviser
electronic engineer"
,,,,"TV production designer
production design manager
television production designer
film production designer
production designer
animation production designer
art department manager
art department lead
art department supervisor"
,,,,"agricultural consultant engineer
agricultural engineering consultant
agricultural engineering adviser
agricultural technology engineering expert
agricultural engineer
agriculture engineer
agricultural technology engineering adviser
agricultural technology engineering consultant
agricultural landscape engineer
agricultural engineering expert
agricultural technology engineering specialist
agricultural technology engineer
agricultural engineering specialist"
,,,,"cosmetology vocational teacher
hair and beauty educator
beauty vocational teacher
educator in beauty
hair and beauty teacher
cosmetology teacher
vocational hair and beauty teacher
educator in hair and beauty
vocational cosmetology teacher
vocational beauty teacher
beauty teacher
beauty educator
beauty instructor
hair and beauty instructor"
,,,,"civil servant
benefits officer
healthcare insurance adviser
employment advisor
social security claims officer
social security officer
government administrative officer
invalidity adviser
social security adviser"
,,,,"special needs support worker
childcare worker
children's home worker
residential home children care worker
residential childcare worker
residential care worker
children's support worker"
,,,,"airport ground systems engineer
aviation ground systems engineer
aviation ground systems technician
engineer of aviation ground systems
airport ground systems technician"
,,,,"computer specialised seller
IT salesperson
IT specialised seller
computer hardware salesperson
computer and accessories specialized seller
consumer electronics specialised seller
computer and accessories salesperson
ICT specialised seller
computer hardware specialised seller
computer and peripheral units salesperson
consumer electronics salesperson
computer salesperson
ICT salesperson
computer and peripheral units specialised seller"
,,,,"outdoor activities facilitator
outdoor adventures facilitator
assistant open-air activities instructor
assistant open-air activities teacher
junior instructor
assistant outdoor animator
outdoor activities assistant instructor
assistant outdoor activities teacher"
,,,,"barber
haircutter"
,,,,"packing machinery engineering consultant
packing machine engineer
machine packaging engineer
machine packaging supervisor
packaging machine engineer
packing machinery engineer
packing machinery engineering specialist
mechanical packaging engineer
packing machinery engineering adviser
packaging engineer
machine packaging inspector
machine-packing engineering inspector
packaging machinery engineer
machine packing inspector
machine packaging technician
machine-packing engineer
packing machinery engineering expert
packing machinery inspector
machine packing engineer
mechanical packing engineer"
,,,,"documentation archivist
computer tape librarian
digital documentation archivist
archive librarian
big data archive librarian
digital archivists"
,,,,"budget and policy analyst
budget officer
budget analyst
budget accountant
cost and planning analyst"
,,,,"rental service worker in water transport equipment
rental sales assistant in water transport equipment
rental sales desk clerk in water transport equipment
rental specialist in water transport equipment
rental service desk supervisor in water transport equipment
rental service manager in water transport equipment
rental service desk agent in water transport equipment
rental sales desk agent in water transport equipment
rental service desk clerk in water transport equipment
rental sales supervisor in water transport equipment
rental advisor in water transport equipment
rental sales desk supervisor in water transport equipment
rental sales team leader in water transport equipment
rental service supervisor in water transport equipment
rental sales manager in water transport equipment
rental service assistant in water transport equipment
rental service representative in water transport equipment
rental sales worker in water transport equipment
rental service team leader in water transport equipment"
,,,,"educational technology advisor
educational technologist
special needs technologist
assistive technology technician
assistive technology assessor
educational assistive technologist
assistive  technology facilitator
IT disability support advisor"
,,,,"university lecturer in architectural studies
architecture professor
architecture docent
professor of architectural studies
lecturer of architecture
university architecture lecturer
lecturer in architectural studies
university lecturer in architecture
lecturer in architecture
instructor in architecture
architecture instructor
architecture lecturer
architecture lector
professor of architecture
university architectural studies lecturer
architecture teacher"
,,,,"road operations supervisor
road transport manager
passenger transport operations manager
road operations coordinator
road freight operations coordinator
road freight operations supervisor
road operations manager
road freight operations manager
road operations superintendent"
,,,,"travel and tourism trainer
trainer in travel and tourism
travel and tourism vocational instructor
travel and tourism vocational teacher
vocational teacher in travel and tourism
vocational travel and tourism teacher
vocational instructor in travel and tourism
instructor in travel and tourism
travel and tourism instructor
travel and tourism teacher"
,,,,"advertising account planner
promotions manager
advertising manager
advertising coordinator
advertising executive
advertising and promotions manager
campaigns coordinator
promotions coordinator
advertising campaign manager
marketing communication manager
advertising director
advertising agency manager"
,,,,"public funding co-ordinator advisor
business mentor
business finance advisor
business advisor
enterprise mentor
public funding advisor
grants advisor
enterprise advisor
public funding specialist
enterprise coach
business coach"
,,,,"scenery painter
scene painter
scenic painter and artist
scenic painter & artist
theatre scene painter
scenery artist
scenic artist
theater scene painter
scenic painter"
,,,,"household waste reclamation worker
vehicle breaker
waste recycling site operative
recycling site worker
household waste recycling site worker
recycling operative
recycling site operative
reclamation worker
recycling worker
waste reclamation worker
car breaker
vehicle dismantler
car dissasembler
waste recycling site worker
commercial waste reclamation worker
household waste recycling site operative"
,,,,"housing officer
assistant housing support worker
housing outreach worker
support worker (housing)
senior housing support worker
housing advisor
housing advice worker
housing support officer
housing support worker"
,,,,"community arts practitioner
community drama artist
community dance leader
community artist
dance leader
community dance artist
community & participatory artist
artist & community facilitator
hospital clown
artist in mediation
community arts project leader
community arts worker
community dance practitioner
community arts facilitator"
,,,,"process metallurgy research scientist
process metallurgy research analyst
process metallurgy scholar
process metallurgy specialist
process metallurgy researcher
processing metallurgist
process metallurgy expert
steel industry experts
process metallurgy scientist
process metallurgy adviser
process metallurgist
process metallurgy analyst
process metallurgy consultant
process metallurgy science researcher"
,,,,"assistant in chiropody
foot care assistant
assistant practitioner in podiatry
assistant in podiatry
chiropody assistant
podology assistant
assistant in podiatric foot care
podiatry foot care assistant
assistant in podology
podiatry assistant"
,,,,"installer of harwood floors
timber floor layer
parquet floor installer
hardwood floor installer
hardwood floor layer
parquet floor layer
wood floor layer"
,,,,"executive of casting
talent booker
movie casting director
talent director
casting recruiter
motion picture casting director
TV casting director
casting coordinator
extras casting director
film casting director
casting director"
,,,,"strategic planning manager
strategic manager
business continuity strategy director
corporate strategist
business continuity planning director
strategy manager
strategic development manager
innovation and strategy specialist
planning manager
strategy adviser
strategic business planning manager"
,,,,"engineer specialised in sensor technology
engineer in sensor technology
sensor technology engineering consultant
sensor technology engineer
sensor engineering consultant
sensor development engineer
engineer of sensors
sensor technology engineering adviser
sensors engineer
actuator and sensor engineer
sensor engineering expert
electronic sensor engineer
engineer of sensors and actuators
sensor design engineer
sensor engineers
sensor engineer
sensor engineering adviser
sensor systems engineer
electronics sensor engineer
specialist sensor engineer
sensor technology engineering specialist
sensor developer
sensor designer
sensor technology engineering expert
sensor engineering specialist
sensor and actuator engineer"
,,,,"educational psychology specialist
practitioner in school psychology
school psychologist
psychologist in education institution
educational psychologist
students' psychology assistant
specialist in educational psychology
educational psychology practitioner
practitioner of educational psychology
students psychologist
students psycology specialist
practitioner in educational psychology
school psychology practitioner
psychologist, educational"
,,,,"stapling machine operator
metal finishing machine tender
filing and stapling machine tender
filing plant operator
band filing machine operative
wood filer
filing machine operator
wood filing machine operator
metal finishing machine operative
filing and stapling machine technician
bench filing machine operator
reciprocating filing machine operative
metal finishing machine setter
band filing machine tender
bench filing machine operative
filing and stapling machine operator
metal finishing machine operator
band filing machine operator
reciprocating filing machine setter
metal filer
plastic filing machine operator
metal filing machine operative
filing and stapling machine operative
reciprocating filing machine operator
reciprocating filing machine tender
stapling machine operative
filer
bench filing machine tender
filing plant operative
filing room operative
metal filing machine operator
metal filing machine tender
band filing machine setter
filing machine operative
filing machinist
filing machine worker
metal filing machine setter
filing and stapling machine apprentice
stapling machine tender
filing machine technician
reciprocating file operator
filing machine tender
bench filing machine setter
filing machine specialist
plastic filer
filing room operator"
,,,,"paper embossing press tender
paper embossing machine tender
paper embossing/debossing machine operator
paper embossing press worker
paper embossing press technician
paper embosser
paper embosser operator
paper embossing machine operator
paper embosser specialist
paper embossing press specialist
paper embosser worker
paper embossing and debossing machine operator
paper embossing and debossing press operator
paper embossing press operator
paper embosser technician
paper embossing & debossing press operator
paper paper embossing press operator
paper embossing & debossing machine operator
paper embossing/debossing press operator"
,,,,"peace researcher
political research scientist
political analyst
public administration researcher
political scientist
political science researcher
political studies researcher
pundit
war researcher
political researcher
political scholar
peace and conflict researcher
political studies research scientist
politics scienctist
political studies scholar
political studies scientist"
,,,,"assistant social worker
social work assistant team member
social work assistant
support worker assistant
social work team assistant
social work assistant practitioner
assistant support worker
support work assistant practitioner
support work assistant team member"
,,,,"aquaculture harvesting supervisor
fish farm harvesting manager
harvesting operations manager
aquaculture harvesting manager
manager of aquaculture harvesting"
,,,,"laboratory research assistant
laboratory technology expert
lab assistant
chemistry laboratory assistant
laboratory assistant
laboratory technologist
laboratory technology specialist
scientific laboratory technician"
,,,,"industrial robot operative
industrial robot controller
delta robot controller
robotic equipment operative
industrial robotics controller
robotic equipment controller
robotic welder programmer
industrial robot operator
robot welder programmer
industrial robot test technician
scara robot controller
industrial robot setter
industrial robot technician
robotic equipment operator"
,,,,"prosthetic devices maker
prosthetics maker
orthotic and prosthetic technician
orthotic appliance maker
prosthetics assembler
prosthetic support maker
O&P technician
surgical appliance  maker
prosthetic appliance maker
orthotic technician
orthopaedic appliance maker
prosthetic-orthotics technician
prosthetic brace maker
orthotics technician
orthopaedic technician
surgical appliance technician"
,,,,"wooden barrel builder
cooper
wooden barrel assembler
master cooper
wooden barrel constuctor
barrel constuctor
wooden barrel maker
barrel assembler
master barrel builder
barrel maker"
,,,,"injection moulding setter
plastic moulding operative
plastic injection moulding operator
injection moulding operative
plastic molding operator
plastic molding worker
thermoplastic moulding worker
injection molding worker
injection molding setter
injection moulding machine operator
injection molding operator
thermoplastic moulding operative
thermoplastic molding worker
plastic moulding worker
plastic moulder
thermoplastic moulder
injection molding operative
wax injection operator
injection moulder
plastic molding operative
injection molding machine operator
thermoplastic molding operator
plastic injection moulding machine operator
plastic injection molding machine operator
thermoplastic molding operative
injection moulding worker
plastic injection molding operator"
,,,,"street sweeper driver
street sweeper
sweeper of city streets
street maintenance worker
leaf-sucker operator
leaf vacuum operator"
,,,,"freight & cargo inspector
principal surveyor
marine and cargo surveyor
inspector of freight
cargo surveyor
cargo inspector
freight and cargo inspector
freight surveyor
freight inspector"
,,,,"residential home older adult care worker
older adult services worker
residential support worker
residential support worker (older adults)
support worker (older adults in care)
supported living support worker"
,,,,"chartered appraiser
business evaluator
accredited business appraiser
business valuation specialist
chartered business valuator
valuator of businesses
business valuation consultant
business valuation analyst
business valuers
business valuer
businesses evaluator
business appraiser
business valuation officer
businesses valuator
business valuator
valuator of business"
,,,,"spray technician
trees sprayer
pesticides sprayer
sprayer of pesticides
pesticides applicator
lawn care chemical applicator"
,,,,"credit control agent
third-party collector
field debt collector
bill and account recovery agent
assistant debt collector
bill collector
revenue agent
debt collector
bill and account collector
collection agent
senior debt collector
debt collection officer
debt recovery agent
collections associate
debt collection agent
payment collector
debt collection operative"
,,,,"ICT accessibility tester
usability tester
accessibility test specialist
accessibility testers"
