UUID,OriginUUID,TabiyaURI,ESCO_UUID,altLabels
,,,,"job placement officer
recruitment consultant
employee recruiter
temporary labour officer
recruiting process consultant
head hunter
recruitment officer
temporary labour agent
employment agent
job placement consultant"
,,,,"actuaries
actuarial analyst
actuarial clerks
actuarial analysts
health actuary
actuarial adviser
actuarial advisor
insurance actuaries
actuarial mathematicians
health actuaries
actuarial clerk
actuarial mathematician
consulting actuary
insurance actuary
actuarial consultant
actuarial advisors
consulting actuaries
actuary"
,,,,"lighting designer
lighting technician and designer
lighting designer & technician
performance lighting creator
lighting technician & designer
lighting designer and technician
theatre lighting designer"
,,,,"assistant choreographer
dance répétiteur
assistant choreographer and repetiteur
dance tutor
dance rehearsal director
assistant choreographer and répétiteur"
,,,,"automotive battery tester
battery installer
truck battery technician
bus battery technician
lorry battery technician
dry cell battery technician
automotive battery installer
coach battery technician
dry cell installer
car battery installer
automobile battery technician
dry cell repairer
technician of automotive batteries
automotive battery technician
car battery technician
automotive battery repairer
automotive battery assembler
motor vehicle battery technician
installer of automotive batteries
dry cell tester
motor vehicle battery installer
vehicle battery technician
automobile battery installer"
,,,,"shoe designer
footwear designer
footwear CAD designer
women's footwear designer
men's footwear designer
footwear technologist
footwear CAD technical designer
footwear stylist
footwear fashion designer
footwear designer and developer
sports footwear designer
footwear designer & developer
shoe stylist
children's footwear designer
fashion footwear designer"
,,,,"jobcentre manager
public employment service manager
jobcentre plus manager
employment service manager
DWP manager
national careers service manager
careers advice manager
department of work and pensions manager
job centre manager"
,,,,"clothing patternmaker
clothing product grader
pattern developer/grader
clothing product tester
fabric pattern grader"
,,,,"public administration director
public institution director
public body manager
public administrator
district council manager
public service administrator
county council manager
public body administrator
public service director
public administration manager
local authority officer
chief of staff
civil service administrator
city administrator
government department manager"
,,,,"credit clerk
credit analyst
analyst of credits"
,,,,"plumbing supervisor
commercial plumbing supervisor
supervising plumber
plumbing foreman
supervisor of plumbing
pipework supervisor
foreman plumber
domestic plumbing supervisor"
,,,,"securities analyst
securities research director
shares analyst
corporate securities research analyst
securities research analyst
rating analyst
bonds analyst
stock analyst"
,,,,"dance artist
show dancer
contemporary dancer
stage dancer
ballet dancer
ballet and modern dance perfomer
singer and dancer
dance performer
soloist dancer
ballet and modern dancer
dancer
modern dancer
belly dancer
modern & ballet dance performer
modern and ballet dance performer
dancer & singer
ballet & modern dance performer
modern and ballet dancer
jazz dancer
group dancer
dancer and singer
modern & ballet dancer
singer & dancer
singer-dancer
ballet & modern dancer
solo dancer
commercial dancer"
,,,,"bespoke footwear technician
custom made footwear technician
custom shoemaker
customized footwear technician
customized shoe maker
customised shoe maker"
,,,,"investigating magistrate
deputy circuit judge
district judge
circuit judge
high court judge
family court judge
inquisitorial magistrate
youth court judge
examining magistrate
judge
appeal court judge
recorder
adjudicator"
,,,,"puppet designer
puppet designer & builder
puppet designer and builder
puppet builder
puppet designer & maker
puppet designer/maker
puppet designer and maker
puppet maker
puppet creator"
,,,,"flexographic printer
flexographic printing press operator
flexographic printing inspection operator
flexographic label press operator
flexographic label press technician
flexographic press specialist
wide-format printer on flexographic presses
flexographic print maker
flexographic presswoman
flexographic printing inspection specialist
flexographic press operator
flexographic pressman
flexographic print operator
flexographic printing plate maker
flexographic operator
flexographic printing inspection technician
flexographic label press specialist
flexographic print technician
flexographic printing plate mounter
flexographic label printer
narrow-format printer on flexographic presses"
,,,,"RAMS engineer
dependability and security engineer
RAM engineer
reliability engineer"
,,,,"software integration engineer
ICT integration engineers
IT integration engineer
system integration engineer
integration engineer"
,,,,"weather forecast anchor
meteorology science researcher
media weather forecaster
senior weather forecaster
meteorology research analyst
weather anchor
meteorology scientist
meteorology analyst
numerical weather forecaster
on-line weather forecaster
meteorology researcher
weather presenter
operational weather forecaster
weather forecast presenter
weather forecasters
weather forecaster"
,,,,"muralist
street caricaturist
street visual artist
street artist
light street artist
graffiti artist
paste-up street artist
urban artist
stencil artist
pictorial muralist"
,,,,"wellness manager
spa and wellness manager
spa manager
spa director
spa managers
manager of spa"
,,,,"athlete
pole vault athlete
professional sports player
discus athlete
long jump athlete
aviation sport athlete
bull fighter
professional athlete
professional handball player
horse rider
hockey player
olympic athlete
long distance runner
skater
snowboarder
middle distance runner
javelin athlete
professional rugby player
sportswoman
race car driver
basketball player
professional baseball player
professional soccer player
tennis player
rugby player
volleyball player
professional basketball player
snow sports athlete
skier
professional volleyball player
track and field athlete
professional football player
motorcycle driver
roller skater
high jump athlete
long distance athlete
handball player
boxer
professional surfer athlete
sports player
football player
cyclist
golf player
professional hockey player
wrestler
middle distance athlete
sportsman"
,,,,"porcine health management veterinarian
wildlife health management veterinarian
veterinary pathologist
sports medicine and rehabilitation veterinarian
small mammal medicine veterinarian
veterinary dermatologist
emergency medicine veterinarian
veterinary oncologist
herpetological medicine veterinarian
bovine health management veterinarian
veterinary cardiologist
poultry veterinary scientist
animal behavioural medicine veterinarian
specialized vet
veterinary comparative nutritionist
veterinary dentist
specialized veterinarian
veterinary theriogenologist
veterinary neurologist
veterinary ophthalmologist
veterinary microbiologist
companion animal internal medicine veterinarian
veterinary clinical pathologist
veterinary anaesthetist
veterinary parasitologist
zoological medicine veterinarian
laboratory animal veterinarian
small ruminant health management veterinarian
veterinary pharmacologist and toxicologist
equine internal medicine veterinarian
aquatic animal health veterinarian
specialized vets
diagnostic imaging veterinarian"
