OCCUPATIONOBJECTTYPE,REQUIRING,RELATIONTYPE,REQUIRED
ESCOOccupation,c332b406-f945-42c2-8c9f-5ce51c3c5c8d,optional,57c08941-a656-4825-b808-b259b6bf404f
ESCOOccupation,c332b406-f945-42c2-8c9f-5ce51c3c5c8d,optional,5f070311-b210-49ea-865b-619f9406bf4b
ESCOOccupation,c332b406-f945-42c2-8c9f-5ce51c3c5c8d,optional,820f083e-a814-424b-a8f1-235aebbece3e
ESCOOccupation,c332b406-f945-42c2-8c9f-5ce51c3c5c8d,optional,e1eddf15-339c-4f6e-b8d1-4390ce582895
ESCOOccupation,a842ae38-2b30-4725-a61d-e786d48d7cad,optional,02676a3d-c66a-4551-8b61-89f687cb0f8d
ESCOOccupation,ec0bca05-2244-4226-b610-3b594ee78c94,optional,261913d9-3b06-47f6-83ff-0f800f73e948
ESCOOccupation,e05b2930-e124-4eb9-966b-be1a1e8ea022,optional,98d201a6-bc59-4a5c-894a-74a859a84584
ESCOOccupation,746a46bf-de0e-4f5d-94e5-be019679135a,optional,fb760337-b81c-4b3e-be37-4b81a3d47cab
ESCOOccupation,746a46bf-de0e-4f5d-94e5-be019679135a,optional,22130588-d645-4c0e-a214-215de62258d6
ESCOOccupation,cfb18398-0269-4acf-9f25-24de07969707,optional,5d3b1454-531d-45cc-8a96-ff18b54dccdb
ESCOOccupation,cfb18398-0269-4acf-9f25-24de07969707,optional,b8c2e230-a2a3-4de8-87ec-dc0034e2ff3d
ESCOOccupation,7a59ae2b-35a8-4c37-99b1-5ff6c0910414,optional,e591cef4-ef67-488c-bfd7-9e5a686621ac
ESCOOccupation,d3e29ed2-bf9f-429b-9af7-51b3d66b0195,optional,98252dbf-6d97-49ea-be24-dc33c62b881d
ESCOOccupation,93117b25-444f-46b2-86a9-8e3ee11451eb,optional,ff2e4a2d-f4b9-41f4-bb6f-06ed60b1b297
ESCOOccupation,6acb2d57-94e8-49b1-82b5-0036781bb59e,optional,14053506-d4c0-4e95-a77c-64ce625ea0b9
ESCOOccupation,6acb2d57-94e8-49b1-82b5-0036781bb59e,optional,3ac81085-8f2d-41b5-86e1-dd3dcb1fd7bc
ESCOOccupation,6acb2d57-94e8-49b1-82b5-0036781bb59e,optional,21477275-22a8-40bd-94c0-cf825d54f783
ESCOOccupation,3df7110b-1783-4146-94ad-b212a76f4906,optional,3c2300df-d7d9-452d-b21e-19f61a3d23cc
ESCOOccupation,fc59ac5b-b480-4c56-ac8a-34ff3636a6cf,optional,e52becd5-cd90-4169-ace1-445302e72126
ESCOOccupation,3e24133e-5ea4-48cd-aa02-d7d2484243c8,optional,9854bb1d-3480-4c51-afc7-f4c70b512eee
ESCOOccupation,d2a82449-f9c1-4bf4-bcc0-1b1be75c0c8b,optional,54f71e6c-54cc-4497-96e5-cf28fd088e48
ESCOOccupation,d2a82449-f9c1-4bf4-bcc0-1b1be75c0c8b,optional,523c94cc-fad9-4c91-b9f9-a39af7494b4e
ESCOOccupation,05d0128e-2172-417a-8e40-79e9506eb498,optional,05d936a6-7bcc-4777-a4b8-07f4a0fb62d4
ESCOOccupation,ce418e32-7463-492d-ac71-6c51e96addeb,optional,57928a56-3379-4432-bc3e-dc470475cb98
ESCOOccupation,ce418e32-7463-492d-ac71-6c51e96addeb,optional,cb970a01-6951-448d-a929-04d1878aa548
ESCOOccupation,4d500130-a6d7-44dd-8dd6-39d1627d4ff3,optional,fd736005-1ef4-48ba-8fa4-05348bb66c34
ESCOOccupation,b8d5c405-d8f3-4649-bea4-394466001193,optional,bc2d6961-8bbf-493b-927b-bc9f2efdf0a0
ESCOOccupation,b8d5c405-d8f3-4649-bea4-394466001193,optional,fcf7256e-2a2e-4b62-94c0-46526ea67321
ESCOOccupation,b8d5c405-d8f3-4649-bea4-394466001193,optional,5ea7bc95-47ee-4984-9764-b9908e7eb6a1
ESCOOccupation,89190eee-2137-47cb-bde7-5ebd5ded0cda,optional,f4338925-df56-46c7-a12f-44feedb6b01c
ESCOOccupation,89190eee-2137-47cb-bde7-5ebd5ded0cda,optional,8761bd1c-19c4-4405-a02e-05e2a18acd0b
