PARENTOBJECTTYPE,PARENTUUID,CHILDUUID,CHILDOBJECTTYPE
SkillGroup,ed6556ad-da5d-4a73-8772-703396410ff7,d13393c0-072f-42f8-892c-0f5e728f6669,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,62be78dd-764b-4415-9c37-ccf111b526b2,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,4a077b02-c630-4392-b41a-1ba06a8bb1ea,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,7741df94-db7f-4838-b710-3d0f3480a878,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,b48eafb2-ccf2-4994-b618-5f717d13776f,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,af1fc803-6bd8-4426-b24b-b379d6c05375,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,d4c7f896-6524-443a-8363-a2d95dff51a7,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,199693c9-e89d-47b3-9597-8fa1e75c6320,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,cbd15509-e710-4ae7-becb-b27b221a9a5b,SkillGroup
SkillGroup,d13393c0-072f-42f8-892c-0f5e728f6669,2d272c00-c0d3-4982-9870-678b3fcff7bd,SkillGroup
SkillGroup,ed6556ad-da5d-4a73-8772-703396410ff7,aab21b76-0bc0-4ba0-8662-beb51f392f5c,SkillGroup
SkillGroup,aab21b76-0bc0-4ba0-8662-beb51f392f5c,ab6ef397-6444-4d87-a3b9-866d51478aa1,SkillGroup
SkillGroup,ed6556ad-da5d-4a73-8772-703396410ff7,98afc137-89f8-44c5-9fad-55c8cd449074,SkillGroup
SkillGroup,98afc137-89f8-44c5-9fad-55c8cd449074,264fcac3-6d73-4ce9-8d80-c9c8d6e5b54f,SkillGroup
SkillGroup,ed6556ad-da5d-4a73-8772-703396410ff7,92714b97-f986-4766-a051-403820d5fba5,SkillGroup
SkillGroup,92714b97-f986-4766-a051-403820d5fba5,7ea0c240-8fec-4869-b461-ae0a4dd31cdb,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,SkillGroup
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,c8a56c13-aaab-430c-8691-b1c4f217f44a,SkillGroup
SkillGroup,c8a56c13-aaab-430c-8691-b1c4f217f44a,34d573c1-9299-4533-b380-34e5a9eeff10,SkillGroup
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,ee5ae47c-1e05-4816-be78-2645028d5062,SkillGroup
SkillGroup,ee5ae47c-1e05-4816-be78-2645028d5062,0e252f16-db89-486d-8016-95540ea6c8a5,SkillGroup
SkillGroup,ee5ae47c-1e05-4816-be78-2645028d5062,87367b16-12b7-47a7-a503-8882d0a5d46e,SkillGroup
SkillGroup,ee5ae47c-1e05-4816-be78-2645028d5062,ea4c7df0-2f17-40b7-88d5-4353d6e7f525,SkillGroup
SkillGroup,ee5ae47c-1e05-4816-be78-2645028d5062,7fa42d32-a958-4b80-b423-222ec1b1c7b9,SkillGroup
