ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0211,key_646,"2d6b504f-dc5f-4b51-9e34-e5a11ec9080e
69552437-2356-4fd8-bda0-3897961493a3",,audio-visual techniques and media production,,"Audio-visual techniques and media production is the study of techniques and skills to produce books or newspapers, radio or TV production, film or video production, recorded music production and graphic reproduction. It includes programmes and qualifications in methods of colour reproduction, photography and computer graphics. Study of combining pictures, words and decorations in the production of books, magazines, posters, adverts etc. is also included.
Programmes and qualifications with the following main content are classified here:
Animation
Bookbinding
Camera operating
Compositing (printing)
Computer game production
Computer type-setting
Film and video production
Graphic design
Graphic reproduction
Illustration
Interactive media design
Media techniques
Multimedia production
Photography
Pre-press operations
Print finishing and binding
Printing
Publishing design, lay-out
Radio and TV production
Recorded music production
Sound techniques
Type-setting

=== Inclusions
Desktop publishing and lay-out are included here.

=== Exclusions
Programmes and qualifications in the use of specific software applications for desktop publishing and website development are excluded from this detailed field and included in detailed field 0611 'Computer use'.
Study of journalism (wording and content of messages) is excluded from this detailed field and included in detailed field 0321 'Journalism and reporting'.",
http://data.europa.eu/esco/isced-f/0212,key_647,"f52293ac-0cbf-4320-98d9-648c92fa2cf2
0bb7fb7f-2d37-440f-a0ea-e1ac88e0c356",,"fashion, interior and industrial design",,"Fashion, interior and industrial design is the study of creatively combining line, form and fabric in designing and constructing e.g. fashion garments, industrial products and interiors.
Programmes and qualifications with the following main content are classified here:
Costume design
Design of industrial products
Fashion design
Interior architecture
Interior design
Stage designing
Window dressing

=== Exclusions
Study of Building design is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Study of Industrial design is excluded from this detailed field if emphasis is given to technical subjects and not to artistic design, and included in the appropriate detailed field under 071 'Engineering and engineering trades'.
Publishing design and graphic design are excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.",
http://data.europa.eu/esco/isced-f/0213,key_648,"b98b424e-1b9a-4173-beee-b510e0ffa0d9
dcbc52f8-c7fd-4838-9d51-894175f3c18e",,fine arts,,"Fine arts is the study of visual forms of creative expression, dealing with theory, history, techniques, performance and production in fine arts.
Programmes and qualifications with the following main content are classified here:
Art theory
Calligraphy
Etching
Fine art printmaking
History of art
Painting
Philosophy of art
Sculpture

=== Exclusions
Training in ceramics, pottery etc is excluded from this detailed field and included in detailed field 0214 'Handicrafts'.
Study of architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Teacher training in arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",
http://data.europa.eu/esco/isced-f/0214,key_649,"5279c41e-12e9-4377-9d37-7a6540c72c50
9ba01d3b-55da-4221-a457-70e88f4074cc",,handicrafts,,"Handicrafts is the study of techniques and skills in a chosen craft, such as jewellery, pottery, weaving, woodcarving etc.
Programmes and qualifications with the following main content are classified here:
Ceramics
Crafts, folk arts and artisan
Decorative metal crafts
Indigenous crafts
Embroidery
Floristry (flower arranging)
Glass arts and craft
Goldsmithing
Jewellery
Making of musical instruments (not industrial)
Musical instruments (repairing and tuning)
Silversmithing
Stone carving (craft)
Weaving (craft)
Woodcarving

=== Exclusions
Study of industrial (large scaled mechanised) production of pottery, woven materials, embroidery etc. is excluded from this field and included in one of the detailed fields under broad field 07 'Engineering, manufacturing and construction'.",
http://data.europa.eu/esco/isced-f/0215,key_650,"bf8ffa54-d18a-4266-9ee9-a92cfaf02f0b
02de8bef-52d3-4184-878c-84846273e6f1",,music and performing arts,,"Music and performing arts is the study of the principles and techniques associated with performance involving music, speech, movement, mime, characterisation, improvisation and stage craft.
Programmes and qualifications with the following main content are classified here:
Acting and directing
Ballet
Choreography
Circus
Composition (music)
Conducting (music)
Creative and performance art
Dance
Drama
History of film and theatre
History of music
Music
Music conducting
Musicology
Theatre/Theatre sciences

=== Inclusions
Study of music and performing arts history and theory is included here.

=== Exclusions
Teacher training in music and other performing arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
022 Humanities (except languages)",
http://data.europa.eu/esco/isced-f/0219,key_651,"bc04d1fe-c9c9-4c16-8480-fb54354ea2de
f528f6e6-a500-4e5d-a701-0d64fd157e04",,arts not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/022,key_652,"3d2b9910-5d5a-4fe6-bd86-ac4e839c1dfb
69cad414-b2fe-40d5-a94b-059f973ef658",,humanities (except languages),,,
http://data.europa.eu/esco/isced-f/0220,key_653,"ada84f78-e0e4-4ea4-b8f3-47390b20a881
cfe8577d-89df-4897-b47d-0f32de638aea",,humanities (except languages) not further defined,,,
http://data.europa.eu/esco/isced-f/0221,key_654,"bdab0866-626d-416c-85f9-14384f0704ac
e8a01f5a-923a-4d7e-ba6e-c66a7d90a16f",,religion and theology,,"Religion and theology is the study of religious beliefs, concepts, symbols, expressions and texts of spirituality.
Programmes and qualifications with the following main content are classified here:
Religious history
Study of sacred books
Study of different religions
Theology

=== Inclusions
Included in this detailed field are programmes for children and young people, usually given in religious schools or seminars, in monasteries etc., aiming to develop an interest in the tenets of their religion and sufficient familiarity with its philosophy to assist in the propagation of their faith.

=== Exclusions
Basic programmes given in religious schools, seminars etc. containing religious instruction but not emphasising it or leading to a religious vocation, are excluded from this detailed field and included in 0011 'Basic programmes and qualifications'. Islamic sharia programmes and qualifications are excluded from this detailed field and included in detailed field 0421 'Law'.",
http://data.europa.eu/esco/isced-f/0222,key_655,"453f49f3-220f-45d9-ae70-86bc18afab26
61831eef-b8fd-4342-878d-5ba0abab4f03",,history and archaeology,,"History is the study of past events, especially the political, social and economic development of a country, a continent or the world. History of medicine is classified here, likewise the study of history of science and ideas. Archaeology is the study of ancient civilisations by scientific analysis of what is found in the ground.
Programmes and qualifications with the following main content are classified here:
Archaeology
Cultural history
Folklore studies
History
History of literature
History of medicine
History of science and ideas
History of technology

=== Inclusions
Restoration and preservation of artistic heritage are included here.

=== Exclusions
Study of literature combined with study of a specific language is excluded from this detailed field and included in detailed field 0232 'Literature and linguistics'.
Study of classical languages (Latin etc.) is excluded from this detailed field and included in detailed field 0231 'Language acquisition'.
Study of History of art is excluded from this detailed field and included in detailed field 0213 'Fine arts'.
Study of Music and performing arts history is excluded from this detailed field and included in detailed field 0215 'Music and performing arts'.
Study of Economic history/history of economics is excluded from this detailed field and included in detailed field 0311 'Economics'.",
